timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
0.00;164.78;2624.72;0.81;1.20;0.07;155.17;HBEFA3/PC_G_EU4;0.00;837.22;0;24254277#3_0;55.94;5.10;!0;0.00;DEFAULT_VEHTYPE;0.00;452.95;454.92
1.00;150.11;3847.49;0.77;1.72;0.09;156.69;HBEFA3/PC_G_EU4;0.00;1227.21;0;24254277#3_0;67.37;7.49;!0;2.39;DEFAULT_VEHTYPE;0.00;453.86;452.72
1.00;164.78;2624.72;0.81;1.20;0.07;171.51;HBEFA3/PC_G_EU4;0.00;837.22;1;24254277#0_0;55.94;5.10;!1;0.00;DEFAULT_VEHTYPE;0.00;340.33;664.03
2.00;123.79;3554.12;0.65;1.54;0.07;157.59;HBEFA3/PC_G_EU4;0.00;1133.63;0;24254277#3_0;63.35;11.22;!0;3.73;DEFAULT_VEHTYPE;0.00;455.28;449.27
2.00;151.14;3986.94;0.78;1.78;0.09;166.62;HBEFA3/PC_G_EU4;0.00;1271.68;1;24254277#0_0;67.94;7.61;!1;2.51;DEFAULT_VEHTYPE;0.00;341.12;661.65
2.00;164.78;2624.72;0.81;1.20;0.07;162.54;HBEFA3/PC_G_EU4;0.00;837.22;2;24254277#6_0;55.94;5.10;!2;0.00;DEFAULT_VEHTYPE;0.00;478.61;394.06
3.00;123.07;4717.93;0.67;2.04;0.09;157.59;HBEFA3/PC_G_EU4;0.00;1504.82;0;24254277#3_0;66.07;16.74;!0;5.52;DEFAULT_VEHTYPE;0.00;457.39;444.17
3.00;135.63;4745.36;0.73;2.08;0.10;160.33;HBEFA3/PC_G_EU4;0.00;1513.57;1;24254277#0_0;67.11;12.23;!1;4.62;DEFAULT_VEHTYPE;0.00;342.67;657.30
3.00;148.35;2912.48;0.74;1.30;0.07;165.34;HBEFA3/PC_G_EU4;0.00;928.99;2;24254277#6_0;62.18;6.40;!2;1.30;DEFAULT_VEHTYPE;0.00;478.76;392.77
4.00;129.03;6247.60;0.74;2.71;0.13;157.59;HBEFA3/PC_G_EU4;0.00;1992.70;0;24254277#3_0;68.36;24.35;!0;7.61;DEFAULT_VEHTYPE;0.00;460.29;437.13
4.00;106.89;4210.78;0.58;1.79;0.08;154.09;HBEFA3/PC_G_EU4;0.00;1343.06;1;24254277#0_0;64.37;18.19;!1;5.96;DEFAULT_VEHTYPE;0.00;345.17;651.91
4.00;135.94;3589.35;0.70;1.58;0.08;173.38;HBEFA3/PC_G_EU4;0.00;1144.87;2;24254277#6_0;64.40;9.37;!2;2.96;DEFAULT_VEHTYPE;0.00;478.96;389.82
4.00;164.78;2624.72;0.81;1.20;0.07;150.46;HBEFA3/PC_G_EU4;0.00;837.22;4;24254277#2_0;55.94;5.10;!4;0.00;DEFAULT_VEHTYPE;0.00;414.64;526.09
5.00;101.48;5694.75;0.60;2.41;0.11;156.56;HBEFA3/PC_G_EU4;0.00;1816.36;0;:572666_0_0;66.68;5.07;!0;9.13;DEFAULT_VEHTYPE;0.00;463.85;428.73
5.00;110.00;5311.44;0.63;2.27;0.10;150.60;HBEFA3/PC_G_EU4;0.00;1694.11;1;24254277#0_0;66.37;25.78;!1;7.59;DEFAULT_VEHTYPE;0.00;348.90;645.29
5.00;130.63;4705.82;0.71;2.05;0.10;176.06;HBEFA3/PC_G_EU4;0.00;1500.96;2;24254277#6_0;66.60;14.30;!2;4.93;DEFAULT_VEHTYPE;0.00;479.30;384.90
5.00;147.41;3252.28;0.75;1.45;0.07;150.46;HBEFA3/PC_G_EU4;0.00;1037.37;4;24254277#2_0;64.50;6.89;!4;1.79;DEFAULT_VEHTYPE;0.00;415.53;524.54
5.00;164.78;2624.72;0.81;1.20;0.07;171.51;HBEFA3/PC_G_EU4;0.00;837.22;5;24254277#0_0;55.94;5.10;!5;0.00;DEFAULT_VEHTYPE;0.00;340.33;664.03
6.00;130.82;8023.11;0.79;3.46;0.16;155.32;HBEFA3/PC_G_EU4;0.00;2558.98;0;24254277#4_0;69.76;9.26;!0;11.15;DEFAULT_VEHTYPE;0.00;468.47;418.58
6.00;94.75;5285.61;0.56;2.22;0.10;150.60;HBEFA3/PC_G_EU4;0.00;1685.87;1;24254277#0_0;66.01;34.74;!1;8.96;DEFAULT_VEHTYPE;0.00;353.30;637.49
6.00;122.70;5502.38;0.69;2.38;0.11;176.06;HBEFA3/PC_G_EU4;0.00;1755.01;2;24254277#6_0;67.19;21.14;!2;6.84;DEFAULT_VEHTYPE;0.00;479.77;378.07
6.00;136.25;4181.05;0.72;1.84;0.09;149.45;HBEFA3/PC_G_EU4;0.00;1333.59;4;24254277#2_0;66.11;10.65;!4;3.76;DEFAULT_VEHTYPE;0.00;417.46;521.31
6.00;148.30;3541.87;0.76;1.58;0.08;167.52;HBEFA3/PC_G_EU4;0.00;1129.73;5;24254277#0_0;66.01;7.21;!5;2.11;DEFAULT_VEHTYPE;0.00;340.98;662.03
7.00;120.85;8192.13;0.75;3.49;0.17;155.74;HBEFA3/PC_G_EU4;0.00;2612.89;0;24254277#5_0;69.64;4.18;!0;12.91;DEFAULT_VEHTYPE;0.00;473.80;406.83
7.00;137.18;8308.98;0.82;3.59;0.17;150.60;HBEFA3/PC_G_EU4;0.00;2650.16;1;24254277#0_0;70.18;45.83;!1;11.09;DEFAULT_VEHTYPE;0.00;358.74;627.83
7.00;148.87;8083.75;0.87;3.53;0.17;175.71;HBEFA3/PC_G_EU4;0.00;2578.33;2;:572669_0_0;70.74;3.09;!2;9.31;DEFAULT_VEHTYPE;0.00;480.44;368.79
7.00;121.37;4615.15;0.66;1.99;0.09;148.86;HBEFA3/PC_G_EU4;0.00;1472.04;4;24254277#2_0;65.79;16.14;!4;5.49;DEFAULT_VEHTYPE;0.00;420.29;516.61
7.00;126.32;3473.83;0.66;1.51;0.07;160.33;HBEFA3/PC_G_EU4;0.00;1108.03;5;24254277#0_0;63.21;10.65;!5;3.45;DEFAULT_VEHTYPE;0.00;342.14;658.78
7.00;164.78;2624.72;0.81;1.20;0.07;155.17;HBEFA3/PC_G_EU4;0.00;837.22;7;24254277#3_0;55.94;5.10;!7;0.00;DEFAULT_VEHTYPE;0.00;452.95;454.92
8.00;84.49;6800.63;0.55;2.80;0.13;163.05;HBEFA3/PC_G_EU4;0.00;2169.07;0;24254277#6_0;68.24;5.56;!0;14.12;DEFAULT_VEHTYPE;0.00;478.70;393.62
