timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;155.17;0;24254277#3_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;452.95;454.92
1.00;156.69;0;24254277#3_0;7.49;0.00;2.39;DEFAULT_VEHTYPE;453.86;452.72
1.00;171.51;1;24254277#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;340.33;664.03
2.00;157.59;0;24254277#3_0;11.22;0.00;3.73;DEFAULT_VEHTYPE;455.28;449.27
2.00;166.62;1;24254277#0_0;7.61;0.00;2.51;DEFAULT_VEHTYPE;341.12;661.65
2.00;162.54;2;24254277#6_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;478.61;394.06
3.00;157.59;0;24254277#3_0;16.74;0.00;5.52;DEFAULT_VEHTYPE;457.39;444.17
3.00;160.33;1;24254277#0_0;12.23;0.00;4.62;DEFAULT_VEHTYPE;342.67;657.30
3.00;165.34;2;24254277#6_0;6.40;0.00;1.30;DEFAULT_VEHTYPE;478.76;392.77
4.00;157.59;0;24254277#3_0;24.35;0.00;7.61;DEFAULT_VEHTYPE;460.29;437.13
4.00;154.09;1;24254277#0_0;18.19;0.00;5.96;DEFAULT_VEHTYPE;345.17;651.91
4.00;173.38;2;24254277#6_0;9.37;0.00;2.96;DEFAULT_VEHTYPE;478.96;389.82
4.00;150.46;4;24254277#2_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;414.64;526.09
5.00;156.56;0;:572666_0_0;5.07;0.00;9.13;DEFAULT_VEHTYPE;463.85;428.73
5.00;150.60;1;24254277#0_0;25.78;0.00;7.59;DEFAULT_VEHTYPE;348.90;645.29
5.00;176.06;2;24254277#6_0;14.30;0.00;4.93;DEFAULT_VEHTYPE;479.30;384.90
5.00;150.46;4;24254277#2_0;6.89;0.00;1.79;DEFAULT_VEHTYPE;415.53;524.54
5.00;171.51;5;24254277#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;340.33;664.03
6.00;155.32;0;24254277#4_0;9.26;0.00;11.15;DEFAULT_VEHTYPE;468.47;418.58
6.00;150.60;1;24254277#0_0;34.74;0.00;8.96;DEFAULT_VEHTYPE;353.30;637.49
6.00;176.06;2;24254277#6_0;21.14;0.00;6.84;DEFAULT_VEHTYPE;479.77;378.07
6.00;149.45;4;24254277#2_0;10.65;0.00;3.76;DEFAULT_VEHTYPE;417.46;521.31
6.00;167.52;5;24254277#0_0;7.21;0.00;2.11;DEFAULT_VEHTYPE;340.98;662.03
